time,open,high,low,close
1576540800,6891.44,6910.78,6890,6902.39
1576542600,6902.1,6907.91,6887.27,6895.98
1576544400,6896.22,6899.2,6879.75,6891.28
1576546200,6891.35,6898.14,6883.06,6885.2
1576548000,6885.23,6899.2,6885.23,6891.75
1576549800,6891.76,6900,6890.35,6893.27
1576551600,6893.29,6895.59,6875.74,6879.69
1576553400,6880.22,6889.69,6856,6886.76
1576555200,6886.76,6891.92,6864.2,6875.1
1576557000,6875.1,6892.46,6859.48,6887.11
1576558800,6886.44,6893.2,6878.55,6887.21
1576560600,6887.16,6904.91,6884.61,6889.17
1576562400,6889.6,6897.91,6886.29,6889.49
1576564200,6889.49,6894,6883.56,6889.21
1576566000,6889.24,6893.85,6877.14,6877.53
1576567800,6877.5,6884.04,6872.12,6877.47
1576569600,6877.46,6886.24,6863.95,6875.2
1576571400,6875.2,6881.79,6856,6879.77
1576573200,6880.33,6888.77,6875.34,6885.93
1576575000,6885.91,6886,6877.33,6883.58
1576576800,6884,6911,6883.38,6890.72
1576578600,6890.97,6899,6882.01,6888
1576580400,6887.67,6890.21,6873.83,6885.26
1576582200,6885.21,6942.21,6883.52,6935.09
1576584000,6935.13,6940.84,6898.64,6910.42
1576585800,6910.44,6911.4,6868.56,6877.59
1576587600,6877.49,6887.75,6858.05,6871.47
1576589400,6871.13,6884.99,6720,6773.62
1576591200,6773.54,6775,6685,6753.51
1576593000,6753.51,6764.99,6731.47,6753.25
1576594800,6753.02,6759,6720,6741.33
1576596600,6741.23,6748.37,6691.63,6696.2
1576598400,6696.32,6730,6640.77,6713.02
1576600200,6713.4,6743.6,6697.56,6737.08
1576602000,6737.08,6743.33,6713.09,6714.65
1576603800,6714.95,6734.93,6693.11,6710
1576605600,6710,6730,6702.28,6716.12
1576607400,6715.67,6724,6706.09,6711.15
1576609200,6711.15,6713.85,6650.81,6669.9
1576611000,6669.44,6682.99,6590.21,6619.71
1576612800,6619.69,6645.95,6600.14,6613.2
1576614600,6613.6,6618.04,6575,6584
1576616400,6584.69,6623.4,6578.3,6605.43
1576618200,6604.54,6621.16,6595,6617
1576620000,6616.15,6702,6600,6658.5
1576621800,6658.5,6659.33,6570,6587.22
1576623600,6588.08,6629.56,6560,6593.69
1576625400,6592.33,6638.57,6592.33,6623.82
1576627200,6623.84,6630.84,6600.52,6621.67
1576629000,6622.04,6659.09,6617.95,6654.57
1576630800,6654.67,6691.16,6642.15,6674
1576632600,6674,6687.35,6651.08,6660.67
1576634400,6660.51,6710.74,6646.88,6704.33
1576636200,6704.26,6712.6,6684.19,6703.6
1576638000,6702.75,6725.69,6691.79,6695.66
1576639800,6695.67,6702.57,6679.38,6686.91
1576641600,6686.89,6717.56,6686.23,6689.74
1576643400,6689.17,6689.67,6658.66,6675.38
1576645200,6675.35,6686.63,6658.66,6665.27
1576647000,6665.73,6678.1,6649.1,6668.58
1576648800,6668.58,6685.36,6662.86,6666.06
1576650600,6666.03,6667.53,6613.15,6629.11
1576652400,6629.45,6629.5,6594.58,6603.56
1576654200,6603.56,6632.63,6590.01,6619.51
1576656000,6619.06,6656.03,6618.37,6635.74
1576657800,6635.5,6644.28,6611.41,6623.47
1576659600,6624.02,6650,6621.06,6643.01
1576661400,6643.01,6656.66,6633.09,6634.39
1576663200,6634.39,6668.84,6620.31,6634.09
1576665000,6634.09,6663.64,6632.54,6655.04
1576666800,6655.8,6660.4,6625.89,6636.08
1576668600,6636.17,6640,6608.44,6615.24
1576670400,6615.24,6629.44,6553.69,6574.96
1576672200,6574.94,6595.38,6500,6541.47
1576674000,6541.47,6541.79,6435,6507.24
1576675800,6508.85,6684.88,6498.69,6674.55
1576677600,6675.33,6737.6,6639.93,6697.53
1576679400,6697.79,6722.38,6654.56,6697.34
1576681200,6697.99,6856,6697.36,6855.99
1576683000,6855.67,6863.08,6760,6823.49
1576684800,6824.55,6929.2,6770,6809.96
1576686600,6812.51,6881.77,6810.41,6874.74
1576688400,6877.46,6925.13,6844,6874.16
1576690200,6874.4,6879.99,6830,6865.97